Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Notes
1,Arsenal,6,6,0,0,17,1,16,18,13.9,3.7,10.2,1.7,
2,Bayern Munich,6,5,0,1,18,7,11,15,15.1,6.7,8.4,1.4,
3,Paris S-G,6,4,1,1,19,8,11,13,13.8,7.9,5.9,0.99,
4,Manchester City,6,4,1,1,12,6,6,13,11.2,5.8,5.4,0.89,
5,Atalanta,6,4,1,1,8,6,2,13,11.4,8.3,3.1,0.51,
6,Inter,6,4,0,2,12,4,8,12,13.8,4.9,8.9,1.48,
7,Real Madrid,6,4,0,2,13,7,6,12,13.4,8.6,4.8,0.79,
8,Atlético Madrid,6,4,0,2,15,12,3,12,11,10.5,0.5,0.08,
9,Liverpool,6,4,0,2,11,8,3,12,13.6,5.6,8,1.33,
10,Dortmund,6,3,2,1,19,13,6,11,11.8,7.6,4.2,0.69,
11,Tottenham,6,3,2,1,13,7,6,11,10.6,8.3,2.4,0.39,
12,Newcastle Utd,6,3,1,2,13,6,7,10,10.9,6.1,4.8,0.8,
13,Chelsea,6,3,1,2,13,8,5,10,9.5,8.3,1.2,0.2,
14,Sporting CP,6,3,1,2,12,8,4,10,8.3,6,2.3,0.38,
15,Barcelona,6,3,1,2,14,11,3,10,9.5,8.6,0.9,0.14,
16,Marseille,6,3,0,3,11,8,3,9,6.8,8.9,-2.1,-0.34,
17,Juventus,6,2,3,1,12,10,2,9,11.6,8.9,2.7,0.46,
18,Galatasaray,6,3,0,3,8,8,0,9,11.6,10,1.6,0.26,
19,Monaco,6,2,3,1,7,8,-1,9,11.5,9.5,2.1,0.35,
20,Leverkusen,6,2,3,1,10,12,-2,9,7.6,10.3,-2.7,-0.46,
21,PSV Eindhoven,6,2,2,2,15,11,4,8,10.7,11.4,-0.7,-0.11,
22,Qaraba?,6,2,1,3,10,13,-3,7,7.4,12,-4.6,-0.77,
23,Napoli,6,2,1,3,6,11,-5,7,7.9,9.2,-1.3,-0.22,
24,FC Copenhagen,6,2,1,3,10,16,-6,7,8.6,11.9,-3.4,-0.56,
25,Benfica,6,2,0,4,6,8,-2,6,7.4,7.1,0.3,0.06,
26,Pafos FC,6,1,3,2,4,9,-5,6,5.4,13.1,-7.7,-1.29,
27,Union SG,6,2,0,4,7,15,-8,6,8.2,14.3,-6.1,-1.02,
28,Athletic Club,6,1,2,3,4,9,-5,5,7.1,7,0.1,0.02,
29,Olympiacos,6,1,2,3,6,13,-7,5,7.9,8,-0.1,-0.01,
30,Eint Frankfurt,6,1,1,4,8,16,-8,4,4.1,14.7,-10.6,-1.76,
31,Club Brugge,6,1,1,4,8,16,-8,4,7.9,15.2,-7.3,-1.22,
32,Bodø/Glimt,6,0,3,3,9,13,-4,3,11.1,17,-5.9,-0.98,
33,Slavia Prague,6,0,3,3,2,11,-9,3,6.7,15.1,-8.4,-1.4,
34,Ajax,6,1,0,5,5,18,-13,3,6.6,10.8,-4.1,-0.69,
35,Villarreal,6,0,1,5,4,13,-9,1,8.1,8.6,-0.5,-0.08,
36,Qa?rat Almaty,6,0,1,5,4,15,-11,1,4.6,16.6,-12.1,-2.01,
