Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Francesco Acerbi,it ITA,DF,it Inter,37-326,1988,2,2,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,eng Chelsea,19-242,2006,4,1,151,1.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,11,3,0,0,0,0,0,0.01,0.1,0.11,0.01,0.11,Matches
3,Elias Achouri,tn TUN,MF,dk FC Copenhagen,26-326,1999,5,3,300,3.3,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,11,9,20,0.3,0.3,0.6,0.3,0.6,0.05,0.2,0.26,0.05,0.26,Matches
4,Tosin Adarabioyo,eng ENG,DF,eng Chelsea,28-100,1997,4,3,240,2.7,0,0,0,0,0,0,1,0,0,0,0.2,0.2,1,9,0,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
5,Emmanuel Addai,gh GHA,FW,az Qaraba?,24-154,2001,6,2,321,3.6,1,0,1,1,0,0,0,0,0.6,0.6,0.8,1.5,14,13,22,0.28,0,0.28,0.28,0.28,0.17,0.23,0.41,0.17,0.41,Matches
6,Karim Adeyemi,de GER,MF,de Dortmund,23-349,2002,5,4,346,3.8,2,2,4,2,0,0,2,0,1.4,1.4,0.5,1.9,17,11,40,0.52,0.52,1.04,0.52,1.04,0.37,0.13,0.5,0.37,0.5,Matches
7,Vasilije Adži?,me MNE,MF,it Juventus,19-235,2006,5,1,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,7,4,0,0,0,0,0,0.18,0.05,0.23,0.18,0.23,Matches
8,Nayef Aguerd,ma MAR,DF,fr Marseille,29-278,1996,4,4,360,4,0,0,0,0,0,0,2,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Honest Ahanor,it ITA,DF,it Atalanta,17-313,2008,4,2,206,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,5,1,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
10,Rayan Aït-Nouri,dz ALG,DF,eng Manchester City,24-210,2001,2,1,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
11,Manuel Akanji,ch SUI,DF,it Inter,30-167,1995,6,3,349,3.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,17,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,30-318,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,10,1,0,0,0,0,0,0.2,0,0.2,0.2,0.2,Matches
13,Yunus Akgün,tr TUR,"FW,MF",tr Galatasaray,25-179,2000,4,3,248,2.8,2,0,2,2,0,0,0,0,0.7,0.7,0.5,1.2,6,10,16,0.73,0,0.73,0.73,0.73,0.24,0.18,0.42,0.24,0.42,Matches
14,Ilias Akhomach,ma MAR,MF,es Villarreal,21-261,2004,4,0,84,0.9,0,2,2,0,0,0,2,0,0,0,0.7,0.7,2,1,22,0,2.14,2.14,0,2.14,0,0.75,0.75,0,0.75,Matches
15,Maghnes Akliouche,fr FRA,"MF,FW",fr Monaco,23-311,2002,6,6,522,5.8,0,2,2,0,0,1,0,0,2.1,1.3,1.3,2.6,13,34,37,0,0.34,0.34,0,0.34,0.36,0.22,0.59,0.23,0.45,Matches
16,David Alaba,at AUT,DF,es Real Madrid,33-192,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Gerald Alders,nl NED,DF,nl Ajax,20-240,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches
18,Haitam Aleesami,no NOR,DF,no Bodø/Glimt,34-155,1991,5,5,368,4.1,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,5,13,4,0.24,0,0.24,0.24,0.24,0.13,0.03,0.16,0.13,0.16,Matches
19,Trent Alexander-Arnold,eng ENG,DF,es Real Madrid,27-087,1998,3,2,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
20,Alisson,br BRA,GK,eng Liverpool,33-092,1992,3,3,235,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Thiago Almada,ar ARG,MF,es Atlético Madrid,24-251,2001,3,0,62,0.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0,4,12,0,0,0,0,0,0.62,0.12,0.73,0.62,0.73,Matches
22,Bar?? Alper Y?lmaz,tr TUR,"FW,MF",tr Galatasaray,25-224,2000,6,5,463,5.1,0,0,0,0,0,0,1,0,1.1,1.1,0.7,1.8,16,12,37,0,0,0,0,0,0.21,0.14,0.35,0.21,0.35,Matches
23,Julián Álvarez,ar ARG,FW,es Atlético Madrid,25-336,2000,5,5,449,5,4,2,6,3,1,1,0,0,3.4,2.8,2.2,4.9,13,17,24,0.8,0.4,1.2,0.6,1,0.69,0.44,1.13,0.55,0.99,Matches
24,Aurele Amenda,ch SUI,DF,de Eint Frankfurt,22-155,2003,4,1,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Michael Amir Murillo,pa PAN,DF,fr Marseille,29-325,1996,5,2,247,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,18,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
26,Temirlan Anarbekov,kz KAZ,GK,kz Qa?rat Almaty,22-080,2003,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Anderson,br BRA,FW,cy Pafos FC,28-042,1997,5,3,205,2.3,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.7,4,4,7,0,0,0,0,0,0.29,0.04,0.32,0.29,0.32,Matches
28,Leandro Andrade,cv CPV,"FW,MF",az Qaraba?,26-100,1999,6,6,375,4.2,3,0,3,3,0,0,0,0,0.8,0.8,0.3,1.1,6,6,18,0.72,0,0.72,0.72,0.72,0.18,0.07,0.26,0.18,0.26,Matches
29,Fredrik André Bjørkan,no NOR,DF,no Bodø/Glimt,27-134,1998,4,4,345,3.8,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,19,28,22,0,0.26,0.26,0,0.26,0.02,0.18,0.2,0.02,0.2,Matches
30,Robert Andrich,de GER,"DF,MF",de Leverkusen,31-102,1994,3,3,209,2.3,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0.3,1,6,1,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11,Matches
31,Andre Annous,eng ENG,FW,eng Arsenal,18-006,2007,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Aaron Anselmino,ar ARG,DF,de Dortmund,20-248,2005,3,2,172,1.9,0,1,1,0,0,0,0,0,0.5,0.5,0.7,1.1,3,12,2,0,0.52,0.52,0,0.52,0.24,0.35,0.59,0.24,0.59,Matches
33,Waldemar Anton,de GER,DF,de Dortmund,29-166,1996,6,6,475,5.3,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.4,4,25,3,0.19,0,0.19,0.19,0.19,0.04,0.03,0.07,0.04,0.07,Matches
34,Ofri Arad,il ISR,MF,kz Qa?rat Almaty,27-113,1998,4,4,292,3.2,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,4,20,13,0.31,0,0.31,0.31,0.31,0.09,0.03,0.12,0.09,0.12,Matches
35,Henrique Araújo,pt POR,FW,pt Benfica,23-348,2002,2,0,13,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,4,0,0,0,0,0,1.31,0,1.31,1.31,1.31,Matches
36,Maximiliano Araújo,uy URU,DF,pt Sporting CP,25-321,2000,6,6,508,5.6,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,10,13,22,0.18,0,0.18,0.18,0.18,0.02,0.02,0.04,0.02,0.04,Matches
37,Ronald Araújo,uy URU,DF,es Barcelona,26-301,1999,4,3,239,2.7,0,0,0,0,0,0,2,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,Matches
38,Tomás Araújo,pt POR,DF,pt Benfica,23-231,2002,5,3,298,3.3,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
39,Jesús Areso,es ESP,DF,es Athletic Club,26-184,1999,4,3,253,2.8,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,8,9,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
40,Arthur,br BRA,DF,de Leverkusen,22-291,2003,4,3,318,3.5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
41,Raúl Asencio,es ESP,DF,es Real Madrid,22-323,2003,5,4,345,3.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,8,4,0,0,0,0,0,0,0.02,0.03,0,0.03,Matches
42,Pierre-Emerick Aubameyang,ga GAB,FW,fr Marseille,36-198,1989,6,6,527,5.9,3,4,7,3,0,0,0,0,2.3,2.3,1,3.4,9,14,24,0.51,0.68,1.2,0.51,1.2,0.39,0.18,0.57,0.39,0.57,Matches
43,Lynnt Audoor,be BEL,MF,be Club Brugge,22-081,2003,3,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
44,Carlos Augusto,br BRA,DF,it Inter,26-360,1999,5,3,289,3.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.1,3,11,12,0.31,0,0.31,0.31,0.31,0.03,0.02,0.05,0.03,0.05,Matches
45,Sondre Auklend,no NOR,"FW,MF",no Bodø/Glimt,22-206,2003,5,4,362,4,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,10,15,27,0,0,0,0,0,0.11,0.09,0.2,0.11,0.2,Matches
46,Yann Aurel Bisseck,de GER,DF,it Inter,25-034,2000,5,4,386,4.3,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,9,13,9,0,0.23,0.23,0,0.23,0.05,0.14,0.19,0.05,0.19,Matches
47,Fredrik Aursnes,no NOR,"FW,MF",pt Benfica,30-023,1995,6,6,517,5.7,0,1,1,0,0,0,1,0,0.7,0.7,1.3,2.1,2,15,27,0,0.17,0.17,0,0.17,0.12,0.23,0.36,0.12,0.36,Matches
48,N?riman Axundzad?,az AZE,FW,az Qaraba?,21-254,2004,5,1,156,1.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,0,1,7,0,0.58,0.58,0,0.58,0.08,0.21,0.29,0.08,0.29,Matches
49,Kaan Ayhan,tr TUR,"MF,FW",tr Galatasaray,31-053,1994,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Matches
