iter	Passed	Remaining
0	1	317
1	3	328
2	4	300
3	5	286
4	7	274
5	8	269
6	9	269
7	10	258
8	12	257
9	13	254
10	14	252
11	15	249
12	17	248
13	18	249
14	20	249
15	21	250
16	23	252
17	24	251
18	26	250
19	27	248
20	29	248
21	30	248
22	32	248
23	33	247
24	35	246
25	36	244
26	37	242
27	38	239
28	40	237
29	41	235
30	42	232
31	44	231
32	45	229
33	46	226
34	47	225
35	49	223
36	50	221
37	51	219
38	53	219
39	54	217
40	55	215
41	56	214
42	58	212
43	59	210
44	60	209
45	61	207
46	63	205
47	64	203
48	65	201
49	66	199
50	67	198
51	69	196
52	70	194
53	71	193
54	72	190
55	73	189
56	75	188
57	76	187
58	77	185
59	78	184
60	80	183
61	81	181
62	82	179
63	83	177
64	84	176
65	85	174
66	87	172
67	88	171
68	89	169
69	90	167
70	91	166
71	92	164
72	93	162
73	94	161
74	96	160
75	97	159
76	98	158
77	100	156
78	101	155
79	102	153
80	103	152
81	104	150
82	106	149
83	107	148
84	108	147
85	109	145
86	110	144
87	111	142
88	113	141
89	114	139
90	115	138
91	116	136
92	117	135
93	118	133
94	119	132
95	121	131
96	122	129
97	123	128
98	124	126
99	125	125
100	126	124
101	127	122
102	128	121
103	130	120
104	131	118
105	132	117
106	133	115
107	134	114
108	135	113
109	136	111
110	137	110
111	138	109
112	140	107
113	141	106
114	142	105
115	143	103
116	144	102
117	145	101
118	146	99
119	147	98
120	148	97
121	149	95
122	150	94
123	151	93
124	153	91
125	154	90
126	155	89
127	156	88
128	158	87
129	159	86
130	160	84
131	162	83
132	163	82
133	164	80
134	165	79
135	166	78
136	167	77
137	169	76
138	170	74
139	171	73
140	173	72
141	174	71
142	176	70
143	177	68
144	178	67
145	179	66
146	181	65
147	182	64
148	183	62
149	185	61
150	186	60
151	187	59
152	188	58
153	190	56
154	191	55
155	192	54
156	193	53
157	194	51
158	196	50
159	197	49
160	198	48
161	199	46
162	201	45
163	202	44
164	204	43
165	205	42
166	207	40
167	208	39
168	210	38
169	211	37
170	213	36
171	214	34
172	215	33
173	216	32
174	218	31
175	219	29
176	221	28
177	222	27
178	223	26
179	224	24
180	226	23
181	227	22
182	229	21
183	230	20
184	231	18
185	233	17
186	234	16
187	235	15
188	236	13
189	237	12
190	239	11
191	240	10
192	241	8
193	243	7
194	244	6
195	245	5
196	247	3
197	248	2
198	249	1
199	251	0
